,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
19,Robbie Gould,PK,11,8,14,8,11,NA,10,10,10,9,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Jay Cutler,QB,11,11,10,8,10,NA,10,16,16,12,NA,10,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brandon Marshall,WR,16,14,14,13,15,NA,14,20,16,15,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Michael Bush,RB,4,4,16,13,4,NA,9,3,3,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Matt Forte,RB,17,16,NA,4,15,NA,19,24,25,20,15,15,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Donald Brown,RB,13,13,12,NA,NA,NA,NA,NA,2,NA,11,9,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Andrew Luck,QB,10,10,11,NA,12,12,19,20,15,16,16,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Coby Fleener,TE,4,6,4,NA,3,2,11,4,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Dwayne Allen,TE,2,NA,NA,NA,NA,1,2,1,2,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Cleveland Defense,DST,3,4,6,4,2,4,4,8,4,NA,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Philadelphia Defense,DST,10,5,5,6,5,2,NA,3,1,4,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
